Wed May 12 04:54:48 2021, steam_is_required_to_join_a_game
Wed May 12 04:54:58 2021, steam_is_required_to_join_a_game
Wed May 12 04:55:24 2021, steam_is_required_to_join_a_game
Wed May 12 04:55:26 2021, steam_is_required_to_join_a_game
Wed May 12 04:55:28 2021, steam_is_required_to_join_a_game
Wed May 12 04:55:30 2021, steam_is_required_to_join_a_game
Wed May 12 04:55:42 2021, steam_is_required_to_join_a_game
Wed May 12 04:56:08 2021, steam_is_required_to_join_a_game
Wed May 12 04:56:10 2021, steam_is_required_to_join_a_game
Wed May 12 04:56:12 2021, steam_is_required_to_join_a_game
Wed May 12 04:56:14 2021, steam_is_required_to_join_a_game
Wed May 12 07:53:30 2021, lost_connection_geographical
Wed May 12 07:53:32 2021, lost_connection_geographical
Wed May 12 07:53:33 2021, lost_connection_geographical
Wed May 12 07:53:34 2021, lost_connection_geographical
Wed May 12 07:53:35 2021, lost_connection_geographical
Wed May 12 07:53:43 2021, failed_to_connect_to_the_match
Wed May 12 07:53:45 2021, failed_to_connect_to_the_match
Wed May 12 07:53:47 2021, failed_to_connect_to_the_match
Wed May 12 07:53:49 2021, failed_to_connect_to_the_match
Wed May 12 07:53:51 2021, failed_to_connect_to_the_match
Wed May 12 20:52:28 2021, kicked_due_to_inactivity
Wed May 12 20:52:30 2021, kicked_due_to_inactivity
Wed May 12 20:52:31 2021, kicked_due_to_inactivity
Wed May 12 20:52:55 2021, kicked_due_to_inactivity
Wed May 12 20:52:57 2021, kicked_due_to_inactivity
Wed May 12 20:52:58 2021, kicked_due_to_inactivity
Thu May 13 06:31:15 2021, kicked_from_the_session
Thu May 13 06:31:16 2021, kicked_from_the_session
Thu May 13 06:31:18 2021, kicked_from_the_session
Thu May 13 06:31:19 2021, kicked_from_the_session
Thu May 13 06:31:21 2021, kicked_from_the_session
Thu May 13 06:31:25 2021, kicked_from_the_session
Thu May 13 06:31:27 2021, kicked_from_the_session
Thu May 13 06:31:29 2021, kicked_from_the_session
Thu May 13 06:31:31 2021, kicked_from_the_session
Thu May 13 06:40:35 2021, steam_is_required_to_join_a_game
Thu May 13 07:30:57 2021, kicked_from_the_session
Thu May 13 07:30:58 2021, steam_is_required_to_join_a_game
Thu May 13 07:30:58 2021, kicked_from_the_session
Thu May 13 07:30:59 2021, kicked_from_the_session
Thu May 13 07:31:00 2021, kicked_from_the_session
Thu May 13 07:31:00 2021, steam_is_required_to_join_a_game
Thu May 13 07:31:01 2021, kicked_from_the_session
Thu May 13 07:31:02 2021, steam_is_required_to_join_a_game
Thu May 13 07:31:02 2021, kicked_from_the_session
Thu May 13 07:31:03 2021, kicked_from_the_session
Thu May 13 14:05:46 2021, invalid_signature_vac_error
Thu May 13 14:08:31 2021, invalid_signature_vac_error
Thu May 13 14:12:43 2021, invalid_signature_vac_error
Thu May 13 14:16:20 2021, invalid_signature_vac_error
Fri May 14 03:54:28 2021, kicked_due_to_inactivity
Fri May 14 03:54:29 2021, kicked_due_to_inactivity
Fri May 14 03:54:32 2021, kicked_due_to_inactivity
Sat May 15 07:54:42 2021, lost_connection_geographical
Sat May 15 08:01:28 2021, failed_to_connect_to_the_match
Sat May 15 08:01:29 2021, failed_to_connect_to_the_match
Sat May 15 11:55:17 2021, steam_is_required_to_join_a_game
Sat May 15 17:31:21 2021, steam_is_required_to_join_a_game
Sun May 16 01:35:12 2021, steam_is_required_to_join_a_game
Sun May 16 13:05:27 2021, the_remote_host_stopped_receiving_communications
Sun May 16 13:05:30 2021, the_remote_host_stopped_receiving_communications
Tue May 18 03:43:12 2021, failed_to_join_session
Tue May 18 03:43:13 2021, failed_to_join_session
Tue May 18 03:43:15 2021, failed_to_join_session
Tue May 18 03:43:16 2021, steam_is_required_to_join_a_game
Thu May 20 04:07:33 2021, failed_to_connect_to_the_match
Thu May 20 04:07:34 2021, failed_to_connect_to_the_match
Thu May 20 04:07:35 2021, failed_to_connect_to_the_match
Thu May 20 04:07:37 2021, failed_to_connect_to_the_match
Thu May 20 04:07:38 2021, failed_to_connect_to_the_match
Thu May 20 04:07:46 2021, lost_connection_geographical
Thu May 20 04:07:48 2021, lost_connection_geographical
Thu May 20 04:07:50 2021, lost_connection_geographical
Thu May 20 04:07:52 2021, lost_connection_geographical
Thu May 20 04:07:54 2021, lost_connection_geographical
Sun May 23 19:32:01 2021, failed_to_connect_to_the_match
Sun May 23 19:32:02 2021, failed_to_connect_to_the_match
Sun May 23 19:32:03 2021, failed_to_connect_to_the_match
Sun May 23 19:32:04 2021, failed_to_connect_to_the_match
Sun May 23 19:32:05 2021, failed_to_connect_to_the_match
Sun May 23 19:32:07 2021, lost_connection_geographical
Sun May 23 19:32:09 2021, lost_connection_geographical
Sun May 23 19:32:11 2021, lost_connection_geographical
Sun May 23 19:32:13 2021, lost_connection_geographical
Sun May 23 19:32:15 2021, lost_connection_geographical
Tue May 25 03:09:23 2021, failed_to_connect_to_the_match
Tue May 25 03:09:25 2021, failed_to_connect_to_the_match
Tue May 25 03:09:26 2021, failed_to_connect_to_the_match
Tue May 25 03:09:27 2021, failed_to_connect_to_the_match
Tue May 25 03:09:28 2021, failed_to_connect_to_the_match
Tue May 25 03:09:30 2021, lost_connection_geographical
Tue May 25 03:09:32 2021, lost_connection_geographical
Tue May 25 03:09:34 2021, lost_connection_geographical
Tue May 25 03:09:36 2021, lost_connection_geographical
Tue May 25 03:09:38 2021, lost_connection_geographical
Tue May 25 05:49:52 2021, failed_to_connect_to_the_match
Tue May 25 05:49:53 2021, failed_to_connect_to_the_match
Tue May 25 05:49:54 2021, failed_to_connect_to_the_match
Tue May 25 05:49:56 2021, failed_to_connect_to_the_match
Tue May 25 05:49:57 2021, failed_to_connect_to_the_match
Tue May 25 05:49:58 2021, lost_connection_geographical
Tue May 25 05:50:00 2021, lost_connection_geographical
Tue May 25 05:50:02 2021, lost_connection_geographical
Tue May 25 05:50:05 2021, lost_connection_geographical
Tue May 25 05:50:07 2021, lost_connection_geographical
Tue May 25 12:43:59 2021, failed_to_connect_to_the_match
Tue May 25 12:44:00 2021, failed_to_connect_to_the_match
Tue May 25 12:44:01 2021, failed_to_connect_to_the_match
Tue May 25 12:44:03 2021, failed_to_connect_to_the_match
Tue May 25 12:44:04 2021, failed_to_connect_to_the_match
Tue May 25 12:44:13 2021, lost_connection_geographical
Tue May 25 12:44:15 2021, lost_connection_geographical
Tue May 25 12:44:17 2021, lost_connection_geographical
Tue May 25 12:44:19 2021, lost_connection_geographical
Tue May 25 12:44:21 2021, lost_connection_geographical
Tue May 25 18:40:35 2021, failed_to_connect_to_the_match
Tue May 25 18:40:36 2021, failed_to_connect_to_the_match
Tue May 25 18:40:37 2021, failed_to_connect_to_the_match
Tue May 25 18:40:38 2021, failed_to_connect_to_the_match
Tue May 25 18:40:40 2021, failed_to_connect_to_the_match
Tue May 25 18:40:48 2021, lost_connection_geographical
Tue May 25 18:40:50 2021, lost_connection_geographical
Tue May 25 18:40:52 2021, lost_connection_geographical
Tue May 25 18:40:54 2021, lost_connection_geographical
Tue May 25 18:40:56 2021, lost_connection_geographical
Tue May 25 21:28:01 2021, lost_connection_geographical
Tue May 25 21:28:18 2021, lost_connection_geographical
Tue May 25 21:28:20 2021, lost_connection_geographical
Tue May 25 21:28:22 2021, lost_connection_geographical
Tue May 25 21:28:24 2021, lost_connection_geographical
Tue May 25 21:28:27 2021, failed_to_connect_to_the_match
Tue May 25 21:28:45 2021, failed_to_connect_to_the_match
Tue May 25 21:28:47 2021, failed_to_connect_to_the_match
Tue May 25 21:28:49 2021, failed_to_connect_to_the_match
Tue May 25 21:28:55 2021, failed_to_connect_to_the_match
Wed May 26 00:20:09 2021, failed_to_connect_to_the_match
Wed May 26 00:20:10 2021, failed_to_connect_to_the_match
Wed May 26 00:20:12 2021, failed_to_connect_to_the_match
Wed May 26 00:20:13 2021, failed_to_connect_to_the_match
